team_1,team_2,team_1_score,team_2_score,venue,winner
Mumbai Indians,Chennai Super Kings,149/8,148/7,Hyderabad,Mumbai Indians won by 1 run
Chennai Super Kings,Delhi Capitals,151/4,147/9,Visakhapatnam,Chennai Super Kings won by 6 wickets
Delhi Capitals,Sunrisers Hyderabad,165/8,162/8,Visakhapatnam,Delhi Capitals won by 2 wickets
Mumbai Indians,Chennai Super Kings,132/4,131/4,Chennai,Mumbai Indians won by 6 wickets
Mumbai Indians,Kolkata Knight Riders,134/1,133/7,Mumbai,Mumbai Indians won by 9 wickets
Kings XI Punjab,Chennai Super Kings,173/4,170/5,Mohali,Kings XI Punjab won by 6 wickets
Royal Challengers Bangalore,Sunrisers Hyderabad,178/6,175/7,Bengaluru,Royal Challengers Bangalore won by 4 wickets
Delhi Capitals,Rajasthan Royals,121/5,115/9,Delhi,Delhi Capitals won by 5 wickets
Kings XI Punjab,Kolkata Knight Riders,183/6,185/3,Mohali,Kolkata Knight Riders won by 7 wickets
Mumbai Indians,Sunrisers Hyderabad,162/5,162/6,Mumbai,Match Tied (Mumbai Indians won the Super Over)
Chennai Super Kings,Delhi Capitals,179/4,99,Chennai,Chennai Super Kings won by 80 runs
Royal Challengers Bangalore,Rajasthan Royals,62/7,41/1,Bengaluru,No Result
Sunrisers Hyderabad,Kings XI Punjab,212/6,167/8,Hyderabad,Sunrisers Hyderabad won by 45 runs
Kolkata Knight Riders,Mumbai Indians,232/2,198/7,Kolkata,Kolkata Knight Riders won by 34 runs
Delhi Capitals,Royal Challengers Bangalore,187/5,171/7,Delhi,Delhi Capitals won by 16 runs
Rajasthan Royals,Sunrisers Hyderabad,161/3,160/8,Jaipur,Rajasthan Royals won by 7 wickets
Chennai Super Kings,Mumbai Indians,109,155/4,Chennai,Mumbai Indians won by 46 runs
Kolkata Knight Riders,Rajasthan Royals,175/6,177/7,Kolkata,Rajasthan Royals won by 3 wickets
Royal Challengers Bangalore,Kings XI Punjab,202/4,185/7,Bengaluru,Royal Challengers Bangalore won by 17 runs
Chennai Super Kings,Sunrisers Hyderabad,176/4,175/3,Chennai,Chennai Super Kings won by 6 wickets
Rajasthan Royals,Delhi Capitals,191/6,193/4,Jaipur,Delhi Capitals won by 6 wickets
Royal Challengers Bangalore,Chennai Super Kings,161/7,160/8,Bengaluru,Royal Challengers Bangalore won by 1 run
Sunrisers Hyderabad,Kolkata Knight Riders,161/1,159/8,Hyderabad,Sunrisers Hyderabad won by 9 wickets
Delhi Capitals,Kings XI Punjab,166/5,163/7,Delhi,Delhi Capitals won by 5 wickets
Rajasthan Royals,Mumbai Indians,162/5,161/5,Jaipur,Rajasthan Royals won by 5 wickets
Kolkata Knight Riders,Royal Challengers Bangalore,203/5,213/4,Kolkata,Royal Challengers Bangalore won by 10 runs
Delhi Capitals,Mumbai Indians,128/9,168/5,Delhi,Mumbai Indians won by 40 runs
Sunrisers Hyderabad,Chennai Super Kings,137/4,132/5,Hyderabad,Sunrisers Hyderabad won by 6 wickets
Kings XI Punjab,Rajasthan Royals,182/6,170/7,Mohali,Kings XI Punjab won by 12 runs
Mumbai Indians,Royal Challengers Bangalore,172/5,171/7,Mumbai,Mumbai Indians won by 5 wickets
Sunrisers Hyderabad,Delhi Capitals,116,155/7,Hyderabad,Delhi Capitals won by 39 runs
Kolkata Knight Riders,Chennai Super Kings,161/8,162/5,Kolkata,Chennai Super Kings won by 5 wickets
Kings XI Punjab,Royal Challengers Bangalore,173/4,174/2,Mohali,Royal Challengers Bangalore won by 8 wickets
Mumbai Indians,Rajasthan Royals,187/5,188/6,Mumbai,Rajasthan Royals won by 4 wickets
Kolkata Knight Riders,Delhi Capitals,178/7,180/3,Kolkata,Delhi Capitals won by 7 wickets
Rajasthan Royals,Chennai Super Kings,151/7,155/6,Jaipur,Chennai Super Kings won by 4 wickets
Mumbai Indians,Kings XI Punjab,198/7,197/4,Mumbai,Mumbai Indians won by 3 wickets
Chennai Super Kings,Kolkata Knight Riders,111/3,108/9,Chennai,Chennai Super Kings won by 7 wickets
Kings XI Punjab,Sunrisers Hyderabad,151/4,150/4,Mohali,Kings XI Punjab won by 6 wickets
Rajasthan Royals,Kolkata Knight Riders,139/3,140/2,Jaipur,Kolkata Knight Riders won by 8 wickets
Royal Challengers Bangalore,Delhi Capitals,149/8,152/6,Bengaluru,Delhi Capitals won by 4 wickets
Sunrisers Hyderabad,Mumbai Indians,96,136/7,Hyderabad,Mumbai Indians won by 40 runs
Chennai Super Kings,Kings XI Punjab,160/3,138/5,Chennai,Chennai Super Kings won by 22 runs
Royal Challengers Bangalore,Kolkata Knight Riders,205/3,206/5,Bengaluru,Kolkata Knight Riders won by 5 wickets
Delhi Capitals,Sunrisers Hyderabad,129/8,131/5,Delhi,Sunrisers Hyderabad won by 5 wickets
Mumbai Indians,Chennai Super Kings,170/5,133/8,Mumbai,Mumbai Indians won by 37 runs
Rajasthan Royals,Royal Challengers Bangalore,164/3,158/4,Jaipur,Rajasthan Royals won by 7 wickets
Kings XI Punjab,Delhi Capitals,166/9,152,Mohali,Kings XI Punjab won by 14 runs
Chennai Super Kings,Rajasthan Royals,175/5,167/8,Chennai,Chennai Super Kings won by 8 runs
Sunrisers Hyderabad,Royal Challengers Bangalore,231/2,113,Hyderabad,Sunrisers Hyderabad won by 118 runs
Delhi Capitals,Kolkata Knight Riders,185/6,185/8,Delhi,Match tied (Delhi Capitals won the Super Over)
Kings XI Punjab,Mumbai Indians,177/2,176/7,Mohali,Kings XI Punjab won by 8 wickets
Sunrisers Hyderabad,Rajasthan Royals,201/5,198/2,Hyderabad,Sunrisers Hyderabad won by 5 wickets
Royal Challengers Bangalore,Mumbai Indians,181/5,187/8,Bengaluru,Mumbai Indians won by 6 runs
Kolkata Knight Riders,Kings XI Punjab,218/4,190/4,Kolkata,Kolkata Knight Riders won by 28 runs
Delhi Capitals,Chennai Super Kings,147/6,150/4,Delhi,Chennai Super Kings won by 6 wickets
Rajasthan Royals,Kings XI Punjab,170/9,184/4,Jaipur,Kings XI Punjab won by 14 runs
Mumbai Indians,Delhi Capitals,176,213/6,Mumbai,Delhi Capitals won by 37 runs
Kolkata Knight Riders,Sunrisers Hyderabad,183/4,181/3,Kolkata,Kolkata Knight Riders won by 6 wickets
Chennai Super Kings,Royal Challengers Bangalore,71/3,70,Chennai,Chennai Super Kings won by 7 wickets